t;x;x_d;x_dd;x_ddd;x_dddd;F
0.770000;0.085248;0.356613;0.984248;1.257066;-0.510272;7.937395
0.780000;0.088864;0.366518;0.996794;1.251970;-0.508936;7.913618
0.790000;0.092579;0.376549;1.009288;1.246888;-0.507570;7.889913
0.800000;0.096395;0.386704;1.021731;1.241819;-0.506179;7.866279
0.810000;0.100313;0.396983;1.034124;1.236764;-0.504765;7.842715
0.820000;0.104335;0.407386;1.046467;1.231724;-0.503332;7.819222
0.830000;0.108461;0.417913;1.058759;1.226698;-0.501882;7.795800
0.840000;0.112694;0.428561;1.071001;1.221686;-0.500417;7.772447
0.850000;0.117033;0.439332;1.083193;1.216689;-0.498940;7.749165
0.860000;0.121481;0.450225;1.095334;1.211707;-0.497453;7.725952
0.870000;0.126038;0.461239;1.107427;1.206740;-0.495956;7.702809
0.880000;0.130706;0.472373;1.119469;1.201788;-0.494452;7.679735
0.890000;0.135486;0.483628;1.131463;1.196851;-0.492942;7.656731
0.900000;0.140379;0.495003;1.143406;1.191929;-0.491427;7.633795
0.910000;0.145386;0.506496;1.155301;1.187023;-0.489907;7.610928
0.920000;0.150509;0.518108;1.167147;1.182131;-0.488385;7.588129
0.930000;0.155749;0.529839;1.178944;1.177255;-0.486861;7.565399
0.940000;0.161106;0.541687;1.190692;1.172394;-0.485336;7.542737
0.950000;0.166583;0.553653;1.202392;1.167548;-0.483810;7.520143
0.960000;0.172180;0.565735;1.214043;1.162718;-0.482283;7.497616
0.970000;0.177898;0.577933;1.225646;1.157903;-0.480757;7.475157
0.980000;0.183739;0.590248;1.237201;1.153103;-0.479232;7.452765
0.990000;0.189703;0.602677;1.248708;1.148318;-0.477708;7.430440
1.000000;0.195793;0.615222;1.260168;1.143549;-0.476185;7.408182
1.010000;0.202008;0.627880;1.271579;1.138794;-0.474665;7.385991
1.020000;0.208351;0.640653;1.282944;1.134055;-0.473147;7.363866
1.030000;0.214822;0.653539;1.294260;1.129331;-0.471631;7.341808
1.040000;0.221422;0.666538;1.305530;1.124623;-0.470118;7.319815
1.050000;0.228153;0.679649;1.316753;1.119929;-0.468608;7.297889
1.060000;0.235015;0.692873;1.327929;1.115250;-0.467101;7.276028
1.070000;0.242011;0.706208;1.339058;1.110587;-0.465597;7.254233
1.080000;0.249140;0.719654;1.350141;1.105939;-0.464097;7.232502
1.090000;0.256404;0.733211;1.361177;1.101305;-0.462600;7.210837
1.100000;0.263804;0.746877;1.372167;1.096687;-0.461106;7.189237
1.110000;0.271342;0.760654;1.383111;1.092083;-0.459617;7.167702
1.120000;0.279018;0.774539;1.394008;1.087494;-0.458131;7.146231
1.130000;0.286833;0.788534;1.404861;1.082920;-0.456649;7.124824
1.140000;0.294789;0.802636;1.415667;1.078361;-0.455171;7.103482
1.150000;0.302886;0.816847;1.426428;1.073817;-0.453697;7.082204
1.160000;0.311126;0.831165;1.437143;1.069287;-0.452227;7.060989
1.170000;0.319510;0.845590;1.447814;1.064772;-0.450761;7.039838
1.180000;0.328038;0.860121;1.458439;1.060272;-0.449299;7.018750
1.190000;0.336713;0.874758;1.469019;1.055786;-0.447841;6.997725
1.200000;0.345534;0.889501;1.479555;1.051315;-0.446387;6.976763
1.210000;0.354503;0.904349;1.490045;1.046859;-0.444938;6.955864
1.220000;0.363621;0.919302;1.500492;1.042416;-0.443493;6.935028
1.230000;0.372889;0.934359;1.510894;1.037989;-0.442052;6.914254
1.240000;0.382309;0.949520;1.521252;1.033575;-0.440615;6.893542
1.250000;0.391880;0.964784;1.531565;1.029176;-0.439182;6.872893
1.260000;0.401605;0.980151;1.541835;1.024792;-0.437754;6.852305
1.270000;0.411484;0.995620;1.552061;1.020421;-0.436330;6.831779
1.280000;0.421518;1.011192;1.562244;1.016065;-0.434910;6.811314
1.290000;0.431708;1.026865;1.572383;1.011723;-0.433494;6.790911
1.300000;0.442055;1.042639;1.582478;1.007395;-0.432083;6.770569
1.310000;0.452561;1.058515;1.592531;1.003081;-0.430676;6.750287
1.320000;0.463226;1.074490;1.602540;0.998782;-0.429273;6.730067
1.330000;0.474051;1.090565;1.612506;0.994496;-0.427874;6.709907
1.340000;0.485037;1.106740;1.622430;0.990224;-0.426480;6.689807
1.350000;0.496186;1.123014;1.632311;0.985966;-0.425090;6.669768
1.360000;0.507498;1.139386;1.642149;0.981722;-0.423704;6.649789
1.370000;0.518974;1.155856;1.651945;0.977492;-0.422322;6.629869
1.380000;0.530615;1.172425;1.661699;0.973276;-0.420944;6.610010
1.390000;0.542423;1.189090;1.671411;0.969073;-0.419571;6.590209
1.400000;0.554398;1.205853;1.681081;0.964884;-0.418201;6.570468
1.410000;0.566540;1.222712;1.690709;0.960709;-0.416836;6.550786
1.420000;0.578852;1.239667;1.700295;0.956548;-0.415475;6.531163
1.430000;0.591334;1.256718;1.709840;0.952400;-0.414119;6.511599
1.440000;0.603987;1.273863;1.719343;0.948265;-0.412766;6.492094
1.450000;0.616812;1.291104;1.728805;0.944144;-0.411418;6.472647
1.460000;0.629809;1.308439;1.738226;0.940037;-0.410073;6.453258
1.470000;0.642981;1.325869;1.747606;0.935943;-0.408733;6.433927
1.480000;0.656327;1.343391;1.756945;0.931862;-0.407397;6.414654
1.490000;0.669849;1.361007;1.766243;0.927795;-0.406065;6.395439
1.500000;0.683547;1.378716;1.775501;0.923741;-0.404737;6.376282
1.510000;0.697423;1.396517;1.784718;0.919700;-0.403413;6.357181
1.520000;0.711478;1.414410;1.793895;0.915673;-0.402093;6.338138
1.530000;0.725712;1.432395;1.803031;0.911658;-0.400777;6.319152
1.540000;0.740126;1.450471;1.812128;0.907657;-0.399465;6.300223
1.550000;0.754722;1.468637;1.821185;0.903669;-0.398158;6.281351
1.560000;0.769499;1.486894;1.830201;0.899694;-0.396854;6.262535
1.570000;0.784460;1.505241;1.839178;0.895732;-0.395554;6.243776
1.580000;0.799604;1.523678;1.848116;0.891783;-0.394258;6.225073
1.590000;0.814934;1.542204;1.857014;0.887847;-0.392966;6.206425
1.600000;0.830449;1.560818;1.865873;0.883924;-0.391679;6.187834
1.610000;0.846150;1.579521;1.874693;0.880013;-0.390395;6.169298
1.620000;0.862039;1.598312;1.883473;0.876116;-0.389115;6.150818
1.630000;0.878117;1.617190;1.892215;0.872231;-0.387839;6.132393
1.640000;0.894384;1.636156;1.900918;0.868359;-0.386567;6.114024
1.650000;0.910840;1.655208;1.909582;0.864500;-0.385298;6.095709
1.660000;0.927488;1.674347;1.918208;0.860653;-0.384034;6.077449
1.670000;0.944328;1.693572;1.926795;0.856819;-0.382774;6.059244
1.680000;0.961360;1.712883;1.935344;0.852997;-0.381517;6.041094
1.690000;0.978585;1.732279;1.943855;0.849189;-0.380265;6.022998
1.700000;0.996006;1.751760;1.952328;0.845392;-0.379016;6.004956
1.710000;1.013621;1.771326;1.960763;0.841608;-0.377771;5.986968
1.720000;1.031432;1.790975;1.969160;0.837837;-0.376530;5.969034
1.730000;1.049441;1.810709;1.977520;0.834078;-0.375292;5.951154
1.740000;1.067647;1.830526;1.985842;0.830331;-0.374059;5.933327
1.750000;1.086052;1.850425;1.994127;0.826596;-0.372829;5.915554
1.760000;1.104656;1.870408;2.002374;0.822874;-0.371603;5.897834
1.770000;1.123460;1.890473;2.010584;0.819164;-0.370381;5.880167
1.780000;1.142465;1.910620;2.018757;0.815467;-0.369162;5.862553
1.790000;1.161673;1.930848;2.026894;0.811781;-0.367947;5.844991
1.800000;1.181083;1.951157;2.034993;0.808108;-0.366736;5.827483
1.810000;1.200696;1.971548;2.043056;0.804446;-0.365529;5.810026
1.820000;1.220514;1.992018;2.051082;0.800797;-0.364326;5.792622
1.830000;1.240537;2.012569;2.059072;0.797160;-0.363126;5.775270
1.840000;1.260765;2.033200;2.067025;0.793535;-0.361930;5.757971
1.850000;1.281201;2.053909;2.074942;0.789921;-0.360737;5.740723
1.860000;1.301844;2.074698;2.082824;0.786320;-0.359548;5.723526
1.870000;1.322695;2.095566;2.090669;0.782730;-0.358363;5.706381
